timestamp,Open,High,Low,Close,Volume
2020-01-01,15.406696,20.977087,2.4291027,18.794252,-42646496.0
2020-01-02,26.228079,38.483624,19.739729,43.761288,-218868720.0
2020-01-03,15.183204,33.253666,14.118871,28.508701,-101891230.0
2020-01-04,1.7219175,35.8032,-6.1902094,33.77492,-161580160.0
2020-01-05,-21.362398,26.402605,-18.878443,9.601381,-140583780.0
2020-01-06,-3.6376617,44.556274,-6.2512646,41.66307,-186871060.0
2020-01-07,7.5271935,12.947263,12.603151,2.2561817,-54539468.0
2020-01-08,-15.078713,21.880789,17.440203,25.673792,-244399150.0
2020-01-09,10.322452,28.038462,28.635967,8.173088,-70045800.0
2020-01-10,6.704575,33.41738,14.18472,2.8739254,-158277660.0
2020-01-11,-10.505834,35.412476,21.40927,7.58219,-188342720.0
2020-01-12,-22.150211,31.147724,23.1922,5.5759916,-101541890.0
2020-01-13,-5.3518534,41.966064,9.521413,19.815495,-52922924.0
2020-01-14,-22.786465,38.992878,-1.582293,1.8566537,-155093600.0
2020-01-15,-24.745567,27.601965,1.1211683,0.27755558,-123750536.0
2020-01-16,-28.412971,48.958134,-4.851779,-4.4111137,-105973490.0
2020-01-17,-0.07584212,27.926783,1.0241276,13.43861,-128484180.0
2020-01-18,11.352472,35.61069,2.4060907,21.666597,-25289710.0
2020-01-19,10.555623,36.119415,3.5047452,11.211514,-64473984.0
2020-01-20,-30.47694,18.326378,-9.449672,12.544813,-178916270.0
2020-01-21,-12.02561,20.496044,-9.165683,10.891804,-6894976.0
2020-01-22,-22.343985,12.423154,-8.436583,4.071051,19491572.0
2020-01-23,-13.440991,6.53838,-19.97076,11.451534,61825376.0
2020-01-24,-1.9419762,8.82471,9.718278,24.761896,18948078.0
2020-01-25,15.678501,19.663794,9.676026,6.529829,101131784.0
2020-01-26,-6.3271832,27.431602,-9.544543,7.9697003,91088390.0
2020-01-27,6.1902,27.740345,17.854513,17.702082,-44060844.0
2020-01-28,14.17899,32.797794,16.852898,18.57273,-188866600.0
2020-01-29,0.6527264,22.997782,13.723058,13.426782,-352347520.0
2020-01-30,13.528155,29.298742,17.838413,23.63447,-305858900.0
2020-01-31,1.8618647,22.428795,5.0894113,19.714457,-276865180.0
2020-02-01,-7.370691,12.72499,19.02237,3.3983345,-175954750.0
2020-02-02,-21.016388,18.113247,6.378209,-0.41289097,-185036530.0
2020-02-03,-7.508894,25.931438,11.488039,0.7033578,-168097420.0
2020-02-04,-20.674309,26.870234,1.4168401,32.30918,-42078560.0
2020-02-05,-13.117656,27.732794,4.694514,-0.28058618,-102491600.0
2020-02-06,-8.8429985,39.090813,1.3272828,16.62313,12973554.0
2020-02-07,-4.0930266,25.097359,2.1934795,15.966553,83006910.0
2020-02-08,-13.604547,16.06337,6.567618,4.7402697,130546856.0
